"","id","variable","est_","coef","range"
"1",1,"(a) Main",-0.168308883905411,"c","<=0"
"2",1,"(b) Price Outlier",-0.145237743854523,"c","<=0"
"3",1,"(a) Main",-0.248175457119942,"l","<=0"
"4",1,"(b) Price Outlier",-0.249545931816101,"l","<=0"
"5",1,"(a) Main",-0.0884423106908798,"u","<=0"
"6",1,"(b) Price Outlier",-0.040929552167654,"u","<=0"
"7",2,"(a) Main",-0.0223018061369658,"c","0-2"
"8",2,"(b) Price Outlier",-0.00774569856002927,"c","0-2"
"9",2,"(a) Main",-0.06098547950387,"l","0-2"
"10",2,"(b) Price Outlier",-0.0502381101250648,"l","0-2"
"11",2,"(a) Main",0.0163818653672934,"u","0-2"
"12",2,"(b) Price Outlier",0.0347467102110386,"u","0-2"
"13",3,"(a) Main",-0.0115728760138154,"c","2-4"
"14",3,"(b) Price Outlier",-0.000273516168817878,"c","2-4"
"15",3,"(a) Main",-0.0424807369709015,"l","2-4"
"16",3,"(b) Price Outlier",-0.0341903306543827,"l","2-4"
"17",3,"(a) Main",0.0193349830806255,"u","2-4"
"18",3,"(b) Price Outlier",0.0336432978510857,"u","2-4"
"19",4,"(a) Main",0.0137736480683088,"c","4-6"
"20",4,"(b) Price Outlier",0.0253043379634619,"c","4-6"
"21",4,"(a) Main",-0.0079379677772522,"l","4-6"
"22",4,"(b) Price Outlier",0.00212909793481231,"l","4-6"
"23",4,"(a) Main",0.0354852639138699,"u","4-6"
"24",4,"(b) Price Outlier",0.048479575663805,"u","4-6"
"25",5,"(a) Main",0.0303374640643597,"c","6-8"
"26",5,"(b) Price Outlier",0.0399525575339794,"c","6-8"
"27",5,"(a) Main",0.0110402489081025,"l","6-8"
"28",5,"(b) Price Outlier",0.0183675326406956,"l","6-8"
"29",5,"(a) Main",0.0496346801519394,"u","6-8"
"30",5,"(b) Price Outlier",0.0615375861525536,"u","6-8"
"31",6,"(a) Main",0.00425640027970076,"c","8-10"
"32",6,"(b) Price Outlier",0.00792009104043245,"c","8-10"
"33",6,"(a) Main",-0.00901312008500099,"l","8-10"
"34",6,"(b) Price Outlier",-0.00686866091564298,"l","8-10"
"35",6,"(a) Main",0.0175259206444025,"u","8-10"
"36",6,"(b) Price Outlier",0.0227088425308466,"u","8-10"
"37",7,"(a) Main",0.0174301378428936,"c","10-12"
"38",7,"(b) Price Outlier",0.0233652628958225,"c","10-12"
"39",7,"(a) Main",0.00746714975684881,"l","10-12"
"40",7,"(b) Price Outlier",0.0119720855727792,"l","10-12"
"41",7,"(a) Main",0.0273931249976158,"u","10-12"
"42",7,"(b) Price Outlier",0.0347584411501884,"u","10-12"
"43",8,"(a) Main",0.0117868175730109,"c","12-14"
"44",8,"(b) Price Outlier",0.0170424375683069,"c","12-14"
"45",8,"(a) Main",0.00256088934838772,"l","12-14"
"46",8,"(b) Price Outlier",0.00659264344722033,"l","12-14"
"47",8,"(a) Main",0.0210127457976341,"u","12-14"
"48",8,"(b) Price Outlier",0.0274922326207161,"u","12-14"
"49",9,"(a) Main",0.00587021373212337,"c","14-16"
"50",9,"(b) Price Outlier",0.000524509290698916,"c","14-16"
"51",9,"(a) Main",-0.00240496452897787,"l","14-16"
"52",9,"(b) Price Outlier",-0.00946518871933222,"l","14-16"
"53",9,"(a) Main",0.0141453919932246,"u","14-16"
"54",9,"(b) Price Outlier",0.0105142071843147,"u","14-16"
"55",10,"(a) Main",0.00691734161227942,"c","16-18"
"56",10,"(b) Price Outlier",0.00863777473568916,"c","16-18"
"57",10,"(a) Main",0.000245668343268335,"l","16-18"
"58",10,"(b) Price Outlier",0.000400801043724641,"l","16-18"
"59",10,"(a) Main",0.0135890152305365,"u","16-18"
"60",10,"(b) Price Outlier",0.0168747492134571,"u","16-18"
"61",11,"(a) Main",0.0066764410585165,"c","18-20"
"62",11,"(b) Price Outlier",0.00899333972483873,"c","18-20"
"63",11,"(a) Main",0.00107648957055062,"l","18-20"
"64",11,"(b) Price Outlier",0.00197214330546558,"l","18-20"
"65",11,"(a) Main",0.0122763924300671,"u","18-20"
"66",11,"(b) Price Outlier",0.0160145368427038,"u","18-20"
"67",12,"(a) Main",0,"c","20-22"
"68",12,"(b) Price Outlier",0,"c","20-22"
"69",12,"(a) Main",NA,"l","20-22"
"70",12,"(b) Price Outlier",NA,"l","20-22"
"71",12,"(a) Main",NA,"u","20-22"
"72",12,"(b) Price Outlier",NA,"u","20-22"
"73",13,"(a) Main",-0.00139499176293612,"c","22-24"
"74",13,"(b) Price Outlier",0.00516987266018987,"c","22-24"
"75",13,"(a) Main",-0.00690006045624614,"l","22-24"
"76",13,"(b) Price Outlier",-0.00143051298800856,"l","22-24"
"77",13,"(a) Main",0.00411007693037391,"u","22-24"
"78",13,"(b) Price Outlier",0.0117702586576343,"u","22-24"
"79",14,"(a) Main",0.0249313246458769,"c","24-26"
"80",14,"(b) Price Outlier",0.027824679389596,"c","24-26"
"81",14,"(a) Main",0.0165127646178007,"l","24-26"
"82",14,"(b) Price Outlier",0.0178819689899683,"l","24-26"
"83",14,"(a) Main",0.0333498828113079,"u","24-26"
"84",14,"(b) Price Outlier",0.0377673916518688,"u","24-26"
"85",15,"(a) Main",0.0252216830849648,"c","26-28"
"86",15,"(b) Price Outlier",0.0270084422081709,"c","26-28"
"87",15,"(a) Main",0.0148244062438607,"l","26-28"
"88",15,"(b) Price Outlier",0.0145255858078599,"l","26-28"
"89",15,"(a) Main",0.0356189571321011,"u","26-28"
"90",15,"(b) Price Outlier",0.0394912995398045,"u","26-28"
"91",16,"(a) Main",0.0268376916646957,"c","28-30"
"92",16,"(b) Price Outlier",0.0308656673878431,"c","28-30"
"93",16,"(a) Main",0.0151871349662542,"l","28-30"
"94",16,"(b) Price Outlier",0.0172189809381962,"l","28-30"
"95",16,"(a) Main",0.0384882465004921,"u","28-30"
"96",16,"(b) Price Outlier",0.0445123538374901,"u","28-30"
"97",17,"(a) Main",0.0215405859053135,"c","30-32"
"98",17,"(b) Price Outlier",0.0286158621311188,"c","30-32"
"99",17,"(a) Main",0.00540432799607515,"l","30-32"
"100",17,"(b) Price Outlier",0.0092520322650671,"l","30-32"
"101",17,"(a) Main",0.0376768447458744,"u","30-32"
"102",17,"(b) Price Outlier",0.0479796938598156,"u","30-32"
"103",18,"(a) Main",0.0566428750753403,"c","32-34"
"104",18,"(b) Price Outlier",0.0720980763435364,"c","32-34"
"105",18,"(a) Main",0.0292020253837109,"l","32-34"
"106",18,"(b) Price Outlier",0.0365930013358593,"l","32-34"
"107",18,"(a) Main",0.0840837210416794,"u","32-34"
"108",18,"(b) Price Outlier",0.107603147625923,"u","32-34"
"109",19,"(a) Main",0.0546113140881062,"c",">34"
"110",19,"(b) Price Outlier",0.0714173465967178,"c",">34"
"111",19,"(a) Main",0.0177186094224453,"l",">34"
"112",19,"(b) Price Outlier",0.0308250822126865,"l",">34"
"113",19,"(a) Main",0.0915040224790573,"u",">34"
"114",19,"(b) Price Outlier",0.112009614706039,"u",">34"
