"","indicator","coef","setting","variable","estimate","color"
"1","CDD","c","(a) Major analysis","Main",0.00426512071862817,"CDD"
"2","CDD","c","(a) Major analysis","Price Outlier",0.00464032590389252,"CDD"
"3","CDD","c","(b) Current weather controlled","Main",0.00429313443601131,"CDD"
"4","CDD","c","(b) Current weather controlled","Price Outlier",0.00445002317428589,"CDD"
"5","CDD","c","(c) Lagged weather separated","Main",0.00477505987510085,"CDD"
"6","CDD","c","(c) Lagged weather separated","Price Outlier",0.00513195712119341,"CDD"
"7","CDD","c","(d) Lagged weather summed","Main",0.00111069611739367,"CDD"
"8","CDD","c","(d) Lagged weather summed","Price Outlier",0.0013220141408965,"CDD"
"9","CDD","l","(a) Major analysis","Main",0.00307893101125956,"CDD"
"10","CDD","l","(a) Major analysis","Price Outlier",0.00325294071808457,"CDD"
"11","CDD","l","(b) Current weather controlled","Main",0.00312520866282284,"CDD"
"12","CDD","l","(b) Current weather controlled","Price Outlier",0.00306865596212447,"CDD"
"13","CDD","l","(c) Lagged weather separated","Main",0.00356703368015587,"CDD"
"14","CDD","l","(c) Lagged weather separated","Price Outlier",0.0037249531596899,"CDD"
"15","CDD","l","(d) Lagged weather summed","Main",0.000395012320950627,"CDD"
"16","CDD","l","(d) Lagged weather summed","Price Outlier",0.000440724543295801,"CDD"
"17","CDD","u","(a) Major analysis","Main",0.00545130996033549,"CDD"
"18","CDD","u","(a) Major analysis","Price Outlier",0.00602771155536175,"CDD"
"19","CDD","u","(b) Current weather controlled","Main",0.00546105997636914,"CDD"
"20","CDD","u","(b) Current weather controlled","Price Outlier",0.00583139015361667,"CDD"
"21","CDD","u","(c) Lagged weather separated","Main",0.00598308630287647,"CDD"
"22","CDD","u","(c) Lagged weather separated","Price Outlier",0.00653896061703563,"CDD"
"23","CDD","u","(d) Lagged weather summed","Main",0.00182637991383672,"CDD"
"24","CDD","u","(d) Lagged weather summed","Price Outlier",0.00220330362208188,"CDD"
"25","CDD -1","c","(c) Lagged weather separated","Main",-0.000115516115329228,"CDD"
"26","CDD -1","c","(c) Lagged weather separated","Price Outlier",-0.00262472056783736,"CDD"
"27","CDD -1","l","(c) Lagged weather separated","Main",-0.00130696792621166,"CDD"
"28","CDD -1","l","(c) Lagged weather separated","Price Outlier",-0.00404863059520721,"CDD"
"29","CDD -1","u","(c) Lagged weather separated","Main",0.00107593566644937,"CDD"
"30","CDD -1","u","(c) Lagged weather separated","Price Outlier",-0.00120081030763686,"CDD"
"31","CDD -2","c","(c) Lagged weather separated","Main",0.00129042100161314,"CDD"
"32","CDD -2","c","(c) Lagged weather separated","Price Outlier",0.00330624845810235,"CDD"
"33","CDD -2","l","(c) Lagged weather separated","Main",-8.67938142619096e-05,"CDD"
"34","CDD -2","l","(c) Lagged weather separated","Price Outlier",0.00149340927600861,"CDD"
"35","CDD -2","u","(c) Lagged weather separated","Main",0.002667635679245,"CDD"
"36","CDD -2","u","(c) Lagged weather separated","Price Outlier",0.00511908764019608,"CDD"
"37","CDD -3","c","(c) Lagged weather separated","Main",0.00115599972195923,"CDD"
"38","CDD -3","c","(c) Lagged weather separated","Price Outlier",4.68612888653297e-05,"CDD"
"39","CDD -3","l","(c) Lagged weather separated","Main",0.000484853080706671,"CDD"
"40","CDD -3","l","(c) Lagged weather separated","Price Outlier",-0.000719870906323195,"CDD"
"41","CDD -3","u","(c) Lagged weather separated","Main",0.0018271462759003,"CDD"
"42","CDD -3","u","(c) Lagged weather separated","Price Outlier",0.000813593505881727,"CDD"
"43","HDD","c","(a) Major analysis","Main",0.00203611515462399,"HDD"
"44","HDD","c","(a) Major analysis","Price Outlier",0.00195840559899807,"HDD"
"45","HDD","c","(b) Current weather controlled","Main",0.00133429386187345,"HDD"
"46","HDD","c","(b) Current weather controlled","Price Outlier",0.00118394161108881,"HDD"
"47","HDD","c","(c) Lagged weather separated","Main",0.0018458382692188,"HDD"
"48","HDD","c","(c) Lagged weather separated","Price Outlier",0.00161022925749421,"HDD"
"49","HDD","c","(d) Lagged weather summed","Main",0.000558887608349323,"HDD"
"50","HDD","c","(d) Lagged weather summed","Price Outlier",-0.00047683683806099,"HDD"
"51","HDD","l","(a) Major analysis","Main",0.00119078520219773,"HDD"
"52","HDD","l","(a) Major analysis","Price Outlier",0.00102134793996811,"HDD"
"53","HDD","l","(b) Current weather controlled","Main",0.000509277277160436,"HDD"
"54","HDD","l","(b) Current weather controlled","Price Outlier",0.000269665295490995,"HDD"
"55","HDD","l","(c) Lagged weather separated","Main",0.000991148757748306,"HDD"
"56","HDD","l","(c) Lagged weather separated","Price Outlier",0.000657838943880051,"HDD"
"57","HDD","l","(d) Lagged weather summed","Main",0.000142037344630808,"HDD"
"58","HDD","l","(d) Lagged weather summed","Price Outlier",-0.000949193723499775,"HDD"
"59","HDD","u","(a) Major analysis","Main",0.00288144522346556,"HDD"
"60","HDD","u","(a) Major analysis","Price Outlier",0.00289546349085867,"HDD"
"61","HDD","u","(b) Current weather controlled","Main",0.00215931050479412,"HDD"
"62","HDD","u","(b) Current weather controlled","Price Outlier",0.00209821807220578,"HDD"
"63","HDD","u","(c) Lagged weather separated","Main",0.00270052766427398,"HDD"
"64","HDD","u","(c) Lagged weather separated","Price Outlier",0.00256261974573135,"HDD"
"65","HDD","u","(d) Lagged weather summed","Main",0.000975737872067839,"HDD"
"66","HDD","u","(d) Lagged weather summed","Price Outlier",-4.47996490038349e-06,"HDD"
