"","variable","group","coef","estimate","id","group_c"
"1","(b) Background climate - CDD","1","c",0.00807037204504013,"CDD","Low"
"2","(b) Background climate - CDD","1","l",0.00481302384287119,"CDD","Low"
"3","(b) Background climate - CDD","1","u",0.0113277202472091,"CDD","Low"
"4","(b) Background climate - CDD","2","c",0.00532912230119109,"CDD","Medium"
"5","(b) Background climate - CDD","2","l",0.00331668113358319,"CDD","Medium"
"6","(b) Background climate - CDD","2","u",0.00734156370162964,"CDD","Medium"
"7","(b) Background climate - CDD","3","c",0.00225822906941175,"CDD","High"
"8","(b) Background climate - CDD","3","l",0.000907572393771261,"CDD","High"
"9","(b) Background climate - CDD","3","u",0.00360888568684459,"CDD","High"
"10","(b) Background climate - CDD","1","c",0.00236663757823408,"HDD","Low"
"11","(b) Background climate - CDD","1","l",0.00114010763354599,"HDD","Low"
"12","(b) Background climate - CDD","1","u",0.00359316752292216,"HDD","Low"
"13","(b) Background climate - CDD","2","c",0.00324672018177807,"HDD","Medium"
"14","(b) Background climate - CDD","2","l",0.00186740781646222,"HDD","Medium"
"15","(b) Background climate - CDD","2","u",0.00462603243067861,"HDD","Medium"
"16","(b) Background climate - CDD","3","c",0.00101604568772018,"HDD","High"
"17","(b) Background climate - CDD","3","l",-0.000488165853312239,"HDD","High"
"18","(b) Background climate - CDD","3","u",0.00252025714144111,"HDD","High"
"19","(c) Background climate - HDD","1","c",0.00108971516601741,"CDD","Low"
"20","(c) Background climate - HDD","1","l",-0.000287046714220196,"CDD","Low"
"21","(c) Background climate - HDD","1","u",0.00246647698804736,"CDD","Low"
"22","(c) Background climate - HDD","2","c",0.00937585905194283,"CDD","Medium"
"23","(c) Background climate - HDD","2","l",0.00703102489933372,"CDD","Medium"
"24","(c) Background climate - HDD","2","u",0.0117206936702132,"CDD","Medium"
"25","(c) Background climate - HDD","3","c",0.00202290387824178,"CDD","High"
"26","(c) Background climate - HDD","3","l",-0.000751176557969302,"CDD","High"
"27","(c) Background climate - HDD","3","u",0.00479698413982987,"CDD","High"
"28","(c) Background climate - HDD","1","c",0.00151381315663457,"HDD","Low"
"29","(c) Background climate - HDD","1","l",0.000187753641512245,"HDD","Low"
"30","(c) Background climate - HDD","1","u",0.00283987261354923,"HDD","Low"
"31","(c) Background climate - HDD","2","c",0.00290107144974172,"HDD","Medium"
"32","(c) Background climate - HDD","2","l",0.00156372610945255,"HDD","Medium"
"33","(c) Background climate - HDD","2","u",0.00423841690644622,"HDD","Medium"
"34","(c) Background climate - HDD","3","c",0.00196458864957094,"HDD","High"
"35","(c) Background climate - HDD","3","l",0.000726188416592777,"HDD","High"
"36","(c) Background climate - HDD","3","u",0.00320298899896443,"HDD","High"
"37","(g) Median age","1","c",0.00269307265989482,"CDD","Low"
"38","(g) Median age","1","l",0.000514790182933211,"CDD","Low"
"39","(g) Median age","1","u",0.00487135536968708,"CDD","Low"
"40","(g) Median age","2","c",0.00291149504482746,"CDD","Medium"
"41","(g) Median age","2","l",0.000136366783408448,"CDD","Medium"
"42","(g) Median age","2","u",0.00568662350997329,"CDD","Medium"
"43","(g) Median age","3","c",0.00570223294198513,"CDD","High"
"44","(g) Median age","3","l",0.0024215707089752,"CDD","High"
"45","(g) Median age","3","u",0.00898289494216442,"CDD","High"
"46","(g) Median age","1","c",0.000444140343461186,"HDD","Low"
"47","(g) Median age","1","l",-0.00135742663405836,"HDD","Low"
"48","(g) Median age","1","u",0.00224570720456541,"HDD","Low"
"49","(g) Median age","2","c",0.00176918995566666,"HDD","Medium"
"50","(g) Median age","2","l",0.000287208880763501,"HDD","Medium"
"51","(g) Median age","2","u",0.00325117097236216,"HDD","Medium"
"52","(g) Median age","3","c",0.00203529372811317,"HDD","High"
"53","(g) Median age","3","l",0.000715401722118258,"HDD","High"
"54","(g) Median age","3","u",0.00335518573410809,"HDD","High"
"55","(p) Support Democratic Party","1","c",0.00215648952871561,"CDD","Low"
"56","(p) Support Democratic Party","1","l",0.000452832115115598,"CDD","Low"
"57","(p) Support Democratic Party","1","u",0.00386014697141945,"CDD","Low"
"58","(p) Support Democratic Party","2","c",0.00433852802962065,"CDD","Medium"
"59","(p) Support Democratic Party","2","l",0.00233682151883841,"CDD","Medium"
"60","(p) Support Democratic Party","2","u",0.00634023454040289,"CDD","Medium"
"61","(p) Support Democratic Party","3","c",0.0055488757789135,"CDD","High"
"62","(p) Support Democratic Party","3","l",0.00364018557593226,"CDD","High"
"63","(p) Support Democratic Party","3","u",0.00745756598189473,"CDD","High"
"64","(p) Support Democratic Party","1","c",0.000785127514973283,"HDD","Low"
"65","(p) Support Democratic Party","1","l",-0.000309459603158757,"HDD","Low"
"66","(p) Support Democratic Party","1","u",0.00187971466220915,"HDD","Low"
"67","(p) Support Democratic Party","2","c",0.0029501523822546,"HDD","Medium"
"68","(p) Support Democratic Party","2","l",0.00182246405165642,"HDD","Medium"
"69","(p) Support Democratic Party","2","u",0.00407784059643745,"HDD","Medium"
"70","(p) Support Democratic Party","3","c",0.00198317808099091,"HDD","High"
"71","(p) Support Democratic Party","3","l",0.000681393139529973,"HDD","High"
"72","(p) Support Democratic Party","3","u",0.00328496308065951,"HDD","High"
"73","(e) % of population > bachelor","1","c",0.00218783132731915,"CDD","Low"
"74","(e) % of population > bachelor","1","l",-0.00032162427669391,"CDD","Low"
"75","(e) % of population > bachelor","1","u",0.00469728698953986,"CDD","Low"
"76","(e) % of population > bachelor","2","c",0.0031628895085305,"CDD","Medium"
"77","(e) % of population > bachelor","2","l",0.000832327292300761,"CDD","Medium"
"78","(e) % of population > bachelor","2","u",0.00549345184117556,"CDD","Medium"
"79","(e) % of population > bachelor","3","c",0.00480329524725676,"CDD","High"
"80","(e) % of population > bachelor","3","l",0.00207914691418409,"CDD","High"
"81","(e) % of population > bachelor","3","u",0.00752744358032942,"CDD","High"
"82","(e) % of population > bachelor","1","c",-0.00128333806060255,"HDD","Low"
"83","(e) % of population > bachelor","1","l",-0.00288724130950868,"HDD","Low"
"84","(e) % of population > bachelor","1","u",0.000320565159199759,"HDD","Low"
"85","(e) % of population > bachelor","2","c",0.000691919587552547,"HDD","Medium"
"86","(e) % of population > bachelor","2","l",-0.000861051143147051,"HDD","Medium"
"87","(e) % of population > bachelor","2","u",0.00224489043466747,"HDD","Medium"
"88","(e) % of population > bachelor","3","c",0.00374860200099647,"HDD","High"
"89","(e) % of population > bachelor","3","l",0.00251258886419237,"HDD","High"
"90","(e) % of population > bachelor","3","u",0.00498461490496993,"HDD","High"
"91","(a) State-level electricity price","1","c",0.000272319710347801,"CDD","Low"
"92","(a) State-level electricity price","1","l",-0.00140134966932237,"CDD","Low"
"93","(a) State-level electricity price","1","u",0.00194598909001797,"CDD","Low"
"94","(a) State-level electricity price","2","c",0.0026740999892354,"CDD","Medium"
"95","(a) State-level electricity price","2","l",0.000876536301802844,"CDD","Medium"
"96","(a) State-level electricity price","2","u",0.00447166385129094,"CDD","Medium"
"97","(a) State-level electricity price","3","c",0.00785865262150764,"CDD","High"
"98","(a) State-level electricity price","3","l",0.00579895125702024,"CDD","High"
"99","(a) State-level electricity price","3","u",0.00991835445165634,"CDD","High"
"100","(a) State-level electricity price","1","c",-0.00141271098982543,"HDD","Low"
"101","(a) State-level electricity price","1","l",-0.00276320241391659,"HDD","Low"
"102","(a) State-level electricity price","1","u",-6.22196603217162e-05,"HDD","Low"
"103","(a) State-level electricity price","2","c",0.00183349486906081,"HDD","Medium"
"104","(a) State-level electricity price","2","l",0.000401245255488902,"HDD","Medium"
"105","(a) State-level electricity price","2","u",0.00326574454084039,"HDD","Medium"
"106","(a) State-level electricity price","3","c",0.00339552341029048,"HDD","High"
"107","(a) State-level electricity price","3","l",0.00211011106148362,"HDD","High"
