"","id","variable","est_","coef","range"
"1",1,"(a) Main",0.00508509203791618,"c","<=0"
"2",1,"(b) Price Outlier",0.0101543935015798,"c","<=0"
"3",1,"(a) Main",0.00147411215584725,"l","<=0"
"4",1,"(b) Price Outlier",0.00560495397076011,"l","<=0"
"5",1,"(a) Main",0.00869607180356979,"u","<=0"
"6",1,"(b) Price Outlier",0.0147038334980607,"u","<=0"
"7",2,"(a) Main",0.00341283390298486,"c","0-2"
"8",2,"(b) Price Outlier",0.0071522151120007,"c","0-2"
"9",2,"(a) Main",0.000230951103731059,"l","0-2"
"10",2,"(b) Price Outlier",0.00315300119109452,"l","0-2"
"11",2,"(a) Main",0.00659471703693271,"u","0-2"
"12",2,"(b) Price Outlier",0.0111514292657375,"u","0-2"
"13",3,"(a) Main",0.00505035603418946,"c","2-4"
"14",3,"(b) Price Outlier",0.0086127482354641,"c","2-4"
"15",3,"(a) Main",0.00202622031792998,"l","2-4"
"16",3,"(b) Price Outlier",0.0047779786400497,"l","2-4"
"17",3,"(a) Main",0.00807449128478765,"u","2-4"
"18",3,"(b) Price Outlier",0.0124475182965398,"u","2-4"
"19",4,"(a) Main",0.00499406410381198,"c","4-6"
"20",4,"(b) Price Outlier",0.00725042400881648,"c","4-6"
"21",4,"(a) Main",0.00192681676708162,"l","4-6"
"22",4,"(b) Price Outlier",0.00355211296118796,"l","4-6"
"23",4,"(a) Main",0.0080613112077117,"u","4-6"
"24",4,"(b) Price Outlier",0.0109487343579531,"u","4-6"
"25",5,"(a) Main",0.000237422966165468,"c","6-8"
"26",5,"(b) Price Outlier",0.00153347873128951,"c","6-8"
"27",5,"(a) Main",-0.00260217278264463,"l","6-8"
"28",5,"(b) Price Outlier",-0.0019395244307816,"l","6-8"
"29",5,"(a) Main",0.00307701877318323,"u","6-8"
"30",5,"(b) Price Outlier",0.00500648189336061,"u","6-8"
"31",6,"(a) Main",-8.52964876685292e-05,"c","8-10"
"32",6,"(b) Price Outlier",0.000942035752814263,"c","8-10"
"33",6,"(a) Main",-0.00269155949354172,"l","8-10"
"34",6,"(b) Price Outlier",-0.00212028063833714,"l","8-10"
"35",6,"(a) Main",0.00252096634358168,"u","8-10"
"36",6,"(b) Price Outlier",0.00400435226038098,"u","8-10"
"37",7,"(a) Main",-0.00142116227652878,"c","10-12"
"38",7,"(b) Price Outlier",0.00065388303482905,"c","10-12"
"39",7,"(a) Main",-0.00373534276150167,"l","10-12"
"40",7,"(b) Price Outlier",-0.00216748402453959,"l","10-12"
"41",7,"(a) Main",0.000893018092028797,"u","10-12"
"42",7,"(b) Price Outlier",0.00347524997778237,"u","10-12"
"43",8,"(a) Main",-0.000785378331784159,"c","12-14"
"44",8,"(b) Price Outlier",-0.000452729698736221,"c","12-14"
"45",8,"(a) Main",-0.00305761024355888,"l","12-14"
"46",8,"(b) Price Outlier",-0.00321129104122519,"l","12-14"
"47",8,"(a) Main",0.00148685369640589,"u","12-14"
"48",8,"(b) Price Outlier",0.00230583152733743,"u","12-14"
"49",9,"(a) Main",0.00175609299913049,"c","14-16"
"50",9,"(b) Price Outlier",0.00153954024426639,"c","14-16"
"51",9,"(a) Main",-0.000253614591201767,"l","14-16"
"52",9,"(b) Price Outlier",-0.000907546142116189,"l","14-16"
"53",9,"(a) Main",0.00376580050215125,"u","14-16"
"54",9,"(b) Price Outlier",0.00398662686347961,"u","14-16"
"55",10,"(a) Main",0.00146544631570578,"c","16-18"
"56",10,"(b) Price Outlier",0.000388470711186528,"c","16-18"
"57",10,"(a) Main",-0.000210686717764474,"l","16-18"
"58",10,"(b) Price Outlier",-0.00168786814901978,"l","16-18"
"59",10,"(a) Main",0.00314157945103943,"u","16-18"
"60",10,"(b) Price Outlier",0.00246480968780816,"u","16-18"
"61",11,"(a) Main",0.00130839715711772,"c","18-20"
"62",11,"(b) Price Outlier",0.000537905842065811,"c","18-20"
"63",11,"(a) Main",-8.21548674139194e-05,"l","18-20"
"64",11,"(b) Price Outlier",-0.00109931093174964,"l","18-20"
"65",11,"(a) Main",0.00269894907251,"u","18-20"
"66",11,"(b) Price Outlier",0.00217512249946594,"u","18-20"
"67",12,"(a) Main",0,"c","20-22"
"68",12,"(b) Price Outlier",0,"c","20-22"
"69",12,"(a) Main",NA,"l","20-22"
"70",12,"(b) Price Outlier",NA,"l","20-22"
"71",12,"(a) Main",NA,"u","20-22"
"72",12,"(b) Price Outlier",NA,"u","20-22"
"73",13,"(a) Main",5.51968041690998e-05,"c","22-24"
"74",13,"(b) Price Outlier",0.000465661229100078,"c","22-24"
"75",13,"(a) Main",-0.00125314854085445,"l","22-24"
"76",13,"(b) Price Outlier",-0.00108130066655576,"l","22-24"
"77",13,"(a) Main",0.00136354216374457,"u","22-24"
"78",13,"(b) Price Outlier",0.00201262324117124,"u","22-24"
"79",14,"(a) Main",0.00059410574613139,"c","24-26"
"80",14,"(b) Price Outlier",0.000950834946706891,"c","24-26"
"81",14,"(a) Main",-0.00120020261965692,"l","24-26"
"82",14,"(b) Price Outlier",-0.00116912357043475,"l","24-26"
"83",14,"(a) Main",0.00238841422833502,"u","24-26"
"84",14,"(b) Price Outlier",0.00307079358026385,"u","24-26"
"85",15,"(a) Main",0.00074364454485476,"c","26-28"
"86",15,"(b) Price Outlier",0.00196872605010867,"c","26-28"
"87",15,"(a) Main",-0.00160652864724398,"l","26-28"
