"","indicator","coef","setting","variable","estimate","color"
"1","CDD","c","(a) Major analysis","Main",-0.00030453730141744,"CDD"
"2","CDD","c","(a) Major analysis","Price Outlier",-0.000393270282074809,"CDD"
"3","CDD","c","(b) Current weather controlled","Main",3.29643589793704e-05,"CDD"
"4","CDD","c","(b) Current weather controlled","Price Outlier",-7.23935409041587e-06,"CDD"
"5","CDD","c","(c) Lagged weather separated","Main",-3.92269555504754e-07,"CDD"
"6","CDD","c","(c) Lagged weather separated","Price Outlier",1.25254637168837e-05,"CDD"
"7","CDD","c","(d) Lagged weather summed","Main",-0.000141827593324706,"CDD"
"8","CDD","c","(d) Lagged weather summed","Price Outlier",-0.000200151611352339,"CDD"
"9","CDD","l","(a) Major analysis","Main",-0.000654471863526851,"CDD"
"10","CDD","l","(a) Major analysis","Price Outlier",-0.000846551731228828,"CDD"
"11","CDD","l","(b) Current weather controlled","Main",-0.00026986314333044,"CDD"
"12","CDD","l","(b) Current weather controlled","Price Outlier",-0.00039013079367578,"CDD"
"13","CDD","l","(c) Lagged weather separated","Main",-0.000275989266810939,"CDD"
"14","CDD","l","(c) Lagged weather separated","Price Outlier",-0.000332154682837427,"CDD"
"15","CDD","l","(d) Lagged weather summed","Main",-0.000333315751049668,"CDD"
"16","CDD","l","(d) Lagged weather summed","Price Outlier",-0.000455605884781107,"CDD"
"17","CDD","u","(a) Major analysis","Main",4.53972934337799e-05,"CDD"
"18","CDD","u","(a) Major analysis","Price Outlier",6.00111670792103e-05,"CDD"
"19","CDD","u","(b) Current weather controlled","Main",0.000335791875841096,"CDD"
"20","CDD","u","(b) Current weather controlled","Price Outlier",0.000375652074581012,"CDD"
"21","CDD","u","(c) Lagged weather separated","Main",0.000275204743957147,"CDD"
"22","CDD","u","(c) Lagged weather separated","Price Outlier",0.000357205601176247,"CDD"
"23","CDD","u","(d) Lagged weather summed","Main",4.96605753141921e-05,"CDD"
"24","CDD","u","(d) Lagged weather summed","Price Outlier",5.53026657144073e-05,"CDD"
"25","CDD -1","c","(c) Lagged weather separated","Main",-0.000217677297769114,"CDD"
"26","CDD -1","c","(c) Lagged weather separated","Price Outlier",-8.84163528098725e-05,"CDD"
"27","CDD -1","l","(c) Lagged weather separated","Main",-0.000492384715471417,"CDD"
"28","CDD -1","l","(c) Lagged weather separated","Price Outlier",-0.0004238675464876,"CDD"
"29","CDD -1","u","(c) Lagged weather separated","Main",5.70301126572303e-05,"CDD"
"30","CDD -1","u","(c) Lagged weather separated","Price Outlier",0.00024703485541977,"CDD"
"31","CDD -2","c","(c) Lagged weather separated","Main",-0.000669169647153467,"CDD"
"32","CDD -2","c","(c) Lagged weather separated","Price Outlier",-0.000986412866041064,"CDD"
"33","CDD -2","l","(c) Lagged weather separated","Main",-0.000957752170506865,"CDD"
"34","CDD -2","l","(c) Lagged weather separated","Price Outlier",-0.00134353130124509,"CDD"
"35","CDD -2","u","(c) Lagged weather separated","Main",-0.000380587065592408,"CDD"
"36","CDD -2","u","(c) Lagged weather separated","Price Outlier",-0.000629294489044696,"CDD"
"37","CDD -3","c","(c) Lagged weather separated","Main",1.11162044049706e-05,"CDD"
"38","CDD -3","c","(c) Lagged weather separated","Price Outlier",-0.000183257972821593,"CDD"
"39","CDD -3","l","(c) Lagged weather separated","Main",-0.000107275322079659,"CDD"
"40","CDD -3","l","(c) Lagged weather separated","Price Outlier",-0.000319400249281898,"CDD"
"41","CDD -3","u","(c) Lagged weather separated","Main",0.000129507723613642,"CDD"
"42","CDD -3","u","(c) Lagged weather separated","Price Outlier",-4.71157072752248e-05,"CDD"
"43","HDD","c","(a) Major analysis","Main",0.000123940728371963,"HDD"
"44","HDD","c","(a) Major analysis","Price Outlier",0.000260191736742854,"HDD"
"45","HDD","c","(b) Current weather controlled","Main",0.000125864913570695,"HDD"
"46","HDD","c","(b) Current weather controlled","Price Outlier",0.000280882639344782,"HDD"
"47","HDD","c","(c) Lagged weather separated","Main",0.000106092549685854,"HDD"
"48","HDD","c","(c) Lagged weather separated","Price Outlier",0.000254277081694454,"HDD"
"49","HDD","c","(d) Lagged weather summed","Main",0.000139819836476818,"HDD"
"50","HDD","c","(d) Lagged weather summed","Price Outlier",0.000234981285757385,"HDD"
"51","HDD","l","(a) Major analysis","Main",1.476070156059e-05,"HDD"
"52","HDD","l","(a) Major analysis","Price Outlier",0.000121277298603673,"HDD"
"53","HDD","l","(b) Current weather controlled","Main",1.61830903380178e-05,"HDD"
"54","HDD","l","(b) Current weather controlled","Price Outlier",0.00014260082389228,"HDD"
"55","HDD","l","(c) Lagged weather separated","Main",-4.75127217214322e-06,"HDD"
"56","HDD","l","(c) Lagged weather separated","Price Outlier",0.000118404081149492,"HDD"
"57","HDD","l","(d) Lagged weather summed","Main",5.54599937458988e-05,"HDD"
"58","HDD","l","(d) Lagged weather summed","Price Outlier",0.000134791393065825,"HDD"
"59","HDD","u","(a) Major analysis","Main",0.000233120750635862,"HDD"
"60","HDD","u","(a) Major analysis","Price Outlier",0.000399106182157993,"HDD"
"61","HDD","u","(b) Current weather controlled","Main",0.000235546744079329,"HDD"
"62","HDD","u","(b) Current weather controlled","Price Outlier",0.000419164454797283,"HDD"
"63","HDD","u","(c) Lagged weather separated","Main",0.000216936372453347,"HDD"
"64","HDD","u","(c) Lagged weather separated","Price Outlier",0.000390150060411543,"HDD"
"65","HDD","u","(d) Lagged weather summed","Main",0.000224179675569758,"HDD"
"66","HDD","u","(d) Lagged weather summed","Price Outlier",0.000335171178448945,"HDD"
"67","HDD -1","c","(c) Lagged weather separated","Main",0.000279839063296095,"HDD"
"68","HDD -1","c","(c) Lagged weather separated","Price Outlier",0.000158705282956362,"HDD"
"69","HDD -1","l","(c) Lagged weather separated","Main",3.22830442200939e-06,"HDD"
"70","HDD -1","l","(c) Lagged weather separated","Price Outlier",-0.000182665724423714,"HDD"
"71","HDD -1","u","(c) Lagged weather separated","Main",0.000556449813302606,"HDD"
"72","HDD -1","u","(c) Lagged weather separated","Price Outlier",0.000500076275784522,"HDD"
"73","HDD -2","c","(c) Lagged weather separated","Main",0.000103368387499359,"HDD"
"74","HDD -2","c","(c) Lagged weather separated","Price Outlier",0.00026963313575834,"HDD"
"75","HDD -2","l","(c) Lagged weather separated","Main",-3.02482180813968e-06,"HDD"
"76","HDD -2","l","(c) Lagged weather separated","Price Outlier",0.000148335297126323,"HDD"
"77","HDD -2","u","(c) Lagged weather separated","Main",0.000209761594305746,"HDD"
"78","HDD -2","u","(c) Lagged weather separated","Price Outlier",0.000390930945286527,"HDD"
"79","HDD -3","c","(c) Lagged weather separated","Main",0.00035316008143127,"HDD"
"80","HDD -3","c","(c) Lagged weather separated","Price Outlier",0.000609360227826983,"HDD"
"81","HDD -3","l","(c) Lagged weather separated","Main",0.000241522502619773,"HDD"
"82","HDD -3","l","(c) Lagged weather separated","Price Outlier",0.000482105679111555,"HDD"
"83","HDD -3","u","(c) Lagged weather separated","Main",0.000464797660242766,"HDD"
"84","HDD -3","u","(c) Lagged weather separated","Price Outlier",0.000736614805646241,"HDD"
